lag,acf,pacf,acf_outside_approximate_95_bound
1,-0.0957,-0.0957,False
2,-0.2756,-0.2874,True
3,0.0717,0.0112,False
4,0.0394,-0.0328,False
5,-0.0547,-0.033,False
6,-0.0621,-0.0773,False
7,0.0622,0.0262,False
8,-0.0144,-0.0427,False
9,-0.0147,0.0089,False
10,0.1562,0.1508,False
11,-0.0666,-0.0392,False
12,-0.1697,-0.1126,False
13,0.0457,-0.0242,False
14,0.1702,0.1148,False
15,-0.0553,0.0017,False
16,-0.1957,-0.137,True
17,0.1015,0.0182,False
18,0.0722,-0.001,False
19,-0.0415,0.0283,False
20,0.035,0.0455,False
21,0.1778,0.2148,True
22,-0.0475,0.0366,False
23,-0.1056,-0.0308,False
24,0.1284,0.0709,False
