model,variable,label,coefficient,hac_standard_error,t_statistic,p_value,confidence_interval_95_lower,confidence_interval_95_upper,observations,r_squared,adjusted_r_squared
Model 1,henry_hub_natural_gas_price,Henry Hub gas price,0.0173,0.051,0.3388,0.7348,-0.0826,0.1171,136,0.0017,-0.0058
Model 2,henry_hub_natural_gas_price,Henry Hub gas price,0.009,0.0468,0.1921,0.8477,-0.0827,0.1007,136,0.1549,0.1357
Model 2,natural_gas_share_pp,Natural-gas share,0.0347,0.0087,4.0087,0.0001,0.0178,0.0517,136,0.1549,0.1357
Model 2,renewable_share_pp,Renewable share,0.0298,0.0155,1.919,0.055,-0.0006,0.0602,136,0.1549,0.1357
Model 3,henry_hub_natural_gas_price,Henry Hub gas price,0.0584,0.0449,1.3,0.1936,-0.0297,0.1465,136,0.2755,0.2476
Model 3,natural_gas_share_pp,Natural-gas share,0.0611,0.0144,4.2439,0.0,0.0329,0.0893,136,0.2755,0.2476
Model 3,renewable_share_pp,Renewable share,0.0246,0.0157,1.5636,0.1179,-0.0062,0.0554,136,0.2755,0.2476
Model 3,tx_heating_degree_days,Heating degree days,-0.0017,0.0003,-5.4734,0.0,-0.0024,-0.0011,136,0.2755,0.2476
Model 3,tx_cooling_degree_days,Cooling degree days,-0.0018,0.0004,-4.2959,0.0,-0.0026,-0.001,136,0.2755,0.2476
Model 4,henry_hub_natural_gas_price,Henry Hub gas price,0.0517,0.0487,1.0618,0.2883,-0.0437,0.1471,136,0.3107,0.2114
Model 4,natural_gas_share_pp,Natural-gas share,0.0536,0.0201,2.6692,0.0076,0.0143,0.093,136,0.3107,0.2114
Model 4,renewable_share_pp,Renewable share,-0.0036,0.0254,-0.1403,0.8884,-0.0534,0.0463,136,0.3107,0.2114
Model 4,tx_heating_degree_days,Heating degree days,-0.0016,0.0009,-1.6582,0.0973,-0.0034,0.0003,136,0.3107,0.2114
Model 4,tx_cooling_degree_days,Cooling degree days,0.0001,0.0017,0.0674,0.9462,-0.0032,0.0034,136,0.3107,0.2114
Model 4,time_trend,Linear time trend,0.0046,0.0058,0.7934,0.4275,-0.0067,0.0159,136,0.3107,0.2114
