variable,total_months,observed_months,missing_months,first_period,last_period
residential_price,137,137,0,2015-01-01,2026-05-01
commercial_price,137,137,0,2015-01-01,2026-05-01
industrial_price,137,137,0,2015-01-01,2026-05-01
total_generation,137,137,0,2015-01-01,2026-05-01
renewable_share,137,137,0,2015-01-01,2026-05-01
fossil_share,137,137,0,2015-01-01,2026-05-01
natural_gas_share,137,137,0,2015-01-01,2026-05-01
coal_share,137,137,0,2015-01-01,2026-05-01
wind_share,137,137,0,2015-01-01,2026-05-01
solar_share,137,137,0,2015-01-01,2026-05-01
residential_sales_per_customer_kwh,137,137,0,2015-01-01,2026-05-01
commercial_sales_per_customer_kwh,137,137,0,2015-01-01,2026-05-01
industrial_sales_per_customer_kwh,137,137,0,2015-01-01,2026-05-01
