lag,acf,pacf,acf_outside_approximate_95_bound
1,-0.0039,-0.0039,False
2,0.0227,0.0227,False
3,-0.0738,-0.0737,False
4,0.0071,0.0062,False
5,-0.1032,-0.1004,False
6,-0.0536,-0.0606,False
7,0.0409,0.0461,False
8,-0.0399,-0.0537,False
9,-0.1079,-0.1197,False
10,0.0938,0.095,False
11,-0.0055,-0.0214,False
12,-0.0125,-0.0309,False
13,0.0792,0.0983,False
14,0.0617,0.0294,False
15,-0.0268,-0.0284,False
16,-0.1814,-0.1573,True
17,0.0034,-0.0134,False
18,0.0269,0.0465,False
19,0.1008,0.1224,False
20,0.0864,0.0727,False
21,0.1519,0.1308,False
22,-0.0359,-0.0158,False
23,0.0441,0.0625,False
24,0.0421,0.0696,False
