variable,total_months,observed_months,missing_months,first_valid_period,last_valid_period
coal_share_ma12,136,125,11,2015-12-01,2026-04-01
coal_share_yoy_pp,136,124,12,2016-01-01,2026-04-01
commercial_price_ma12,136,125,11,2015-12-01,2026-04-01
commercial_price_yoy_pct,136,124,12,2016-01-01,2026-04-01
commercial_sales_per_customer_kwh_ma12,136,125,11,2015-12-01,2026-04-01
commercial_sales_per_customer_kwh_yoy_pct,136,124,12,2016-01-01,2026-04-01
fossil_generation_ma12,136,125,11,2015-12-01,2026-04-01
fossil_generation_yoy_pct,136,124,12,2016-01-01,2026-04-01
fossil_share_ma12,136,125,11,2015-12-01,2026-04-01
fossil_share_yoy_pp,136,124,12,2016-01-01,2026-04-01
industrial_price_ma12,136,125,11,2015-12-01,2026-04-01
industrial_price_yoy_pct,136,124,12,2016-01-01,2026-04-01
industrial_sales_per_customer_kwh_ma12,136,125,11,2015-12-01,2026-04-01
industrial_sales_per_customer_kwh_yoy_pct,136,124,12,2016-01-01,2026-04-01
month,136,136,0,2015-01-01,2026-04-01
natural_gas_share_ma12,136,125,11,2015-12-01,2026-04-01
natural_gas_share_stl_residual,136,136,0,2015-01-01,2026-04-01
natural_gas_share_stl_seasonal,136,136,0,2015-01-01,2026-04-01
natural_gas_share_stl_trend,136,136,0,2015-01-01,2026-04-01
natural_gas_share_yoy_pp,136,124,12,2016-01-01,2026-04-01
nuclear_share_ma12,136,125,11,2015-12-01,2026-04-01
nuclear_share_yoy_pp,136,124,12,2016-01-01,2026-04-01
quarter,136,136,0,2015-01-01,2026-04-01
renewable_generation_ma12,136,125,11,2015-12-01,2026-04-01
renewable_generation_yoy_pct,136,124,12,2016-01-01,2026-04-01
renewable_share_ma12,136,125,11,2015-12-01,2026-04-01
renewable_share_stl_residual,136,136,0,2015-01-01,2026-04-01
renewable_share_stl_seasonal,136,136,0,2015-01-01,2026-04-01
renewable_share_stl_trend,136,136,0,2015-01-01,2026-04-01
renewable_share_yoy_pp,136,124,12,2016-01-01,2026-04-01
residential_price_ma12,136,125,11,2015-12-01,2026-04-01
residential_price_stl_residual,136,136,0,2015-01-01,2026-04-01
residential_price_stl_seasonal,136,136,0,2015-01-01,2026-04-01
residential_price_stl_trend,136,136,0,2015-01-01,2026-04-01
residential_price_yoy_pct,136,124,12,2016-01-01,2026-04-01
residential_sales_per_customer_kwh_ma12,136,125,11,2015-12-01,2026-04-01
residential_sales_per_customer_kwh_stl_residual,136,136,0,2015-01-01,2026-04-01
residential_sales_per_customer_kwh_stl_seasonal,136,136,0,2015-01-01,2026-04-01
residential_sales_per_customer_kwh_stl_trend,136,136,0,2015-01-01,2026-04-01
residential_sales_per_customer_kwh_yoy_pct,136,124,12,2016-01-01,2026-04-01
solar_share_ma12,136,125,11,2015-12-01,2026-04-01
solar_share_yoy_pp,136,124,12,2016-01-01,2026-04-01
total_generation_ma12,136,125,11,2015-12-01,2026-04-01
total_generation_yoy_pct,136,124,12,2016-01-01,2026-04-01
wind_share_ma12,136,125,11,2015-12-01,2026-04-01
wind_share_yoy_pp,136,124,12,2016-01-01,2026-04-01
year,136,136,0,2015-01-01,2026-04-01
