lag_months,correlation,observations
-12,-0.5881300960678365,112
-11,-0.5674474408044362,113
-10,-0.4936440646709256,114
-9,-0.4221198930726319,115
-8,-0.34583326072106524,116
-7,-0.23733147428684762,117
-6,-0.12569233200994245,118
-5,-0.046781919759290566,119
-4,0.015555724443482157,120
-3,0.0967613641069307,121
-2,0.17233156202713745,122
-1,0.31025914431769747,123
0,0.5453241471666954,124
1,0.625688951846206,123
2,0.6011602827635044,122
3,0.5763369722181363,121
4,0.5351664470532903,120
5,0.5056664670756381,119
6,0.4995796830669437,118
7,0.4839842161762251,117
8,0.47228142993371647,116
9,0.4541182865492805,115
10,0.44448684160481006,114
11,0.38813157669283505,113
12,0.31607607693151657,112
